Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalMnt,TotalCampaignsAcc,In_relationship
69209.0,496,32,849,229,48,128,1782,1,1
31928.0,33,4,24,4,2,5,72,0,1
74004.0,784,48,560,42,176,48,1658,3,0
30390.0,10,12,12,25,1,20,80,0,1
21355.0,5,13,14,0,5,31,68,2,1
26304.0,4,1,5,2,0,4,16,0,1
85710.0,600,20,350,29,30,33,1062,1,1
102692.0,168,148,444,32,172,148,1112,5,0
58350.0,493,26,206,116,80,80,1001,0,0
7500.0,6,5,4,13,4,25,57,0,0
18890.0,6,4,1,7,2,15,35,2,0
20425.0,4,12,5,3,16,17,57,0,1
20425.0,4,12,5,3,16,17,57,0,1
41437.0,29,0,2,0,0,1,32,0,0
49912.0,520,8,223,32,49,42,874,2,1
49912.0,520,8,223,32,49,42,874,2,1
79823.0,835,73,380,114,73,43,1518,1,1
85683.0,1296,17,311,45,69,51,1789,5,0
47025.0,16,0,3,0,0,1,20,0,0
68397.0,760,80,466,17,13,80,1416,0,1
38175.0,70,6,69,2,3,3,153,0,1
46423.0,68,0,16,0,0,8,92,0,0
46423.0,68,0,16,0,0,8,92,0,0
30560.0,9,1,5,4,5,7,31,0,1
30560.0,9,1,5,4,5,7,31,0,1
60152.0,325,83,300,86,58,91,943,0,0
29672.0,9,1,3,0,4,8,25,0,1
29672.0,9,1,3,0,4,8,25,0,1
70321.0,303,23,751,82,26,191,1376,1,1
56181.0,121,103,69,8,44,48,393,0,1
24279.0,16,36,21,20,62,108,263,0,1
68462.0,561,64,785,84,128,48,1670,0,1
55424.0,462,61,184,10,53,107,877,2,1
49094.0,376,0,38,11,8,69,502,0,1
59184.0,341,142,113,259,151,66,1072,0,0
67430.0,595,97,291,127,133,121,1364,0,1
30522.0,179,8,83,19,11,26,326,0,1
31878.0,23,4,5,10,5,23,70,0,0
83528.0,530,117,678,134,44,147,1650,3,0
90300.0,594,134,786,33,134,57,1738,1,1
68092.0,852,60,207,78,36,48,1281,0,0
53761.0,158,0,76,13,7,71,325,0,1
52845.0,384,25,292,130,41,64,936,1,1
24027.0,14,7,11,11,0,5,48,0,1
7500.0,2,8,11,3,8,21,53,0,1
42586.0,194,2,56,0,0,0,252,1,1
42586.0,194,2,56,0,0,0,252,1,1
9722.0,6,17,16,6,16,42,103,1,1
86836.0,179,21,273,0,21,63,557,4,1
30467.0,1,3,8,2,5,5,24,0,1
54549.0,216,2,6,0,0,9,233,0,1
19444.0,16,0,23,3,2,10,54,1,1
69245.0,428,30,214,80,30,61,843,0,1
72968.0,1092,37,592,145,37,55,1958,2,0
48686.0,10,0,7,2,0,1,20,0,1
73687.0,559,153,503,218,13,181,1627,2,1
82716.0,606,148,228,15,148,22,1167,0,0
35523.0,11,5,22,12,5,11,66,0,1
60554.0,588,7,76,110,15,15,811,0,0
64090.0,316,58,161,76,51,135,797,1,1
61559.0,279,83,88,32,14,34,530,0,0
71670.0,1462,16,128,0,0,160,1766,4,0
67680.0,546,0,48,0,6,6,606,0,0
54386.0,277,21,64,62,21,25,470,0,1
64108.0,948,10,86,13,21,21,1099,0,0
69702.0,664,9,240,50,19,57,1039,0,1
47958.0,268,11,88,15,3,22,407,0,0
67716.0,530,142,217,62,9,56,1016,1,1
34600.0,199,33,60,8,3,15,318,1,1
34600.0,199,33,60,8,3,15,318,1,1
48752.0,73,57,100,71,15,0,316,1,1
15716.0,16,5,30,8,7,26,92,0,1
46610.0,96,12,96,33,22,43,302,1,0
74985.0,587,51,898,247,0,86,1869,0,1
45576.0,56,19,29,2,14,25,145,1,0
113734.0,6,2,3,1,262,3,277,0,0
57100.0,158,11,99,15,11,17,311,0,0
24434.0,3,2,8,20,0,17,50,0,1
37126.0,45,3,9,4,4,7,72,2,1
45160.0,8,2,5,3,0,3,21,0,0
33178.0,12,6,2,11,2,16,49,0,1
64866.0,508,5,21,7,5,10,556,1,0
34176.0,11,2,7,4,2,2,28,0,1
50014.0,234,14,77,19,10,42,396,0,0
92344.0,992,24,694,51,19,119,1899,2,1
55282.0,125,6,73,8,4,19,235,0,0
48799.0,174,18,81,28,6,24,331,0,0
84169.0,1478,19,403,0,19,0,1919,3,1
84169.0,1478,19,403,0,19,0,1919,3,1
39763.0,80,1,60,4,6,16,167,1,0
74165.0,1001,12,240,16,12,12,1293,0,0
42720.0,392,5,91,28,26,112,654,1,0
65275.0,388,14,218,91,14,21,746,0,1
36443.0,65,0,46,4,3,20,138,0,1
43776.0,177,2,71,3,2,20,275,1,1
56046.0,577,0,64,0,0,51,692,2,1
65148.0,460,35,422,33,12,153,1115,0,1
49431.0,219,3,100,26,0,17,365,0,0
32583.0,5,0,3,0,0,1,9,0,1
16653.0,5,7,31,15,4,7,69,1,0
26850.0,31,1,13,7,2,9,63,0,1
51287.0,117,0,22,13,0,30,182,0,1
43050.0,30,5,24,6,3,8,76,0,1
73448.0,236,106,189,23,41,130,725,0,1
17256.0,6,4,14,8,8,22,62,1,1
86429.0,464,28,873,29,18,37,1449,2,0
33569.0,16,2,18,3,0,24,63,2,1
25130.0,2,5,7,0,18,18,50,0,1
62998.0,120,58,73,65,89,58,463,0,1
26907.0,9,1,7,0,3,2,22,0,1
26907.0,9,1,7,0,3,2,22,0,1
45579.0,145,1,33,2,1,1,183,0,1
47320.0,200,19,111,50,15,19,414,0,1
70179.0,532,88,168,69,44,133,1034,0,0
70179.0,532,88,168,69,44,133,1034,0,0
28072.0,30,0,10,2,0,5,47,0,1
50501.0,297,0,38,13,0,152,500,2,1
58917.0,151,7,89,0,7,28,282,0,1
69372.0,997,26,269,34,13,42,1381,3,1
35178.0,23,1,13,2,2,18,59,2,1
35178.0,23,1,13,2,2,18,59,2,1
75693.0,797,153,293,72,97,30,1442,4,0
69109.0,823,25,459,124,29,95,1555,2,1
69109.0,823,25,459,124,29,95,1555,2,1
80134.0,966,26,282,52,26,26,1378,4,1
64713.0,180,60,241,13,54,54,602,1,0
41411.0,37,32,38,11,3,18,139,0,0
55521.0,416,0,26,0,0,4,446,2,0
43795.0,314,11,53,4,3,107,492,2,1
22070.0,10,7,19,8,2,21,67,0,1
36408.0,9,1,4,3,2,3,22,0,1
34026.0,18,6,15,12,8,17,76,0,1
34026.0,18,6,15,12,8,17,76,0,1
46049.0,342,9,112,19,14,19,515,1,1
35641.0,63,3,67,8,9,28,178,1,1
32414.0,20,6,5,0,9,12,52,1,1
59821.0,629,0,70,0,0,35,734,0,1
34968.0,158,6,45,8,2,2,221,0,1
56320.0,201,53,172,116,77,83,702,0,1
70091.0,964,34,137,15,0,11,1161,1,1
46097.0,72,24,68,65,4,8,241,0,1
41003.0,123,133,142,71,44,88,601,0,0
44911.0,159,0,22,2,1,31,215,0,1
33249.0,6,10,21,19,14,42,112,0,0
33249.0,6,10,21,19,14,42,112,0,0
42873.0,209,0,40,3,2,15,269,0,0
51039.0,100,64,79,65,0,109,417,0,1
78952.0,1170,19,594,99,76,134,2092,0,1
29435.0,70,3,37,4,2,64,180,1,0
79865.0,71,99,278,185,121,38,792,0,0
34176.0,5,7,24,19,14,20,89,0,0
34176.0,5,7,24,19,14,20,89,0,0
65968.0,376,9,83,19,4,4,495,0,1
86424.0,387,68,569,89,45,68,1226,0,0
67272.0,357,35,271,28,28,14,733,0,0
78499.0,912,72,170,47,36,97,1334,2,0
77044.0,625,38,242,50,34,76,1065,1,1
70515.0,420,0,452,182,64,140,1258,1,0
17459.0,6,4,16,3,10,30,69,1,1
80336.0,209,19,456,160,142,66,1052,0,1
15759.0,1,2,5,6,0,3,17,0,1
26326.0,1,0,5,0,3,9,18,0,1
62061.0,641,7,84,0,30,38,800,1,1
5305.0,12,4,7,1,3,5,32,0,1
75777.0,712,26,538,69,13,80,1438,3,0
75777.0,712,26,538,69,13,80,1438,3,0
71499.0,465,25,132,136,0,37,795,0,1
31626.0,39,1,9,2,1,34,86,2,0
42670.0,154,2,46,20,4,15,241,0,1
83917.0,514,22,732,42,198,79,1587,1,0
41021.0,14,7,9,6,16,12,64,1,1
79456.0,565,42,548,64,83,99,1401,1,1
78789.0,667,50,850,21,83,83,1754,1,0
50870.0,53,0,8,0,0,2,63,0,1
35876.0,66,2,40,4,3,14,129,0,1
23539.0,4,24,11,16,1,25,81,0,1
32557.0,34,3,29,0,4,10,80,1,0
62466.0,129,129,259,168,121,83,889,0,1
62466.0,129,129,259,168,121,83,889,0,1
54198.0,185,0,28,3,2,17,235,0,1
82170.0,1023,93,651,49,55,37,1908,0,1
61798.0,338,4,89,11,8,13,463,0,0
15253.0,1,3,3,8,1,13,29,0,0
78285.0,647,107,391,175,67,40,1427,0,1
62535.0,163,48,90,0,45,52,398,0,0
27190.0,1,6,7,0,1,3,18,2,1
48985.0,19,13,18,10,7,8,75,0,1
72940.0,182,74,298,162,149,116,981,0,1
36145.0,56,4,76,17,1,18,172,2,1
81843.0,779,86,537,34,69,138,1643,0,1
41883.0,32,34,41,73,16,116,312,0,1
45759.0,42,1,18,3,0,4,68,0,1
45759.0,42,1,18,3,0,4,68,0,1
78394.0,298,27,697,216,24,166,1428,1,1
30279.0,10,4,14,4,4,1,37,0,0
30279.0,10,4,14,4,4,1,37,0,0
31880.0,4,1,5,2,0,3,15,0,0
60208.0,488,23,71,15,0,59,656,2,0
78687.0,817,185,687,145,55,241,2130,2,1
37401.0,19,3,19,3,1,3,48,0,1
37401.0,19,3,19,3,1,3,48,0,1
75315.0,459,15,171,142,23,31,841,0,1
69263.0,492,5,32,13,5,21,568,1,0
78569.0,558,79,622,207,175,95,1736,2,1
57705.0,383,0,53,6,4,40,486,0,1
74805.0,209,162,209,41,162,37,820,0,1
66426.0,1043,24,97,32,24,157,1377,0,1
51529.0,400,4,35,6,0,22,467,0,0
18100.0,3,1,2,4,3,1,14,0,1
59601.0,691,7,69,0,7,23,797,1,0
20981.0,2,12,10,6,13,30,73,1,1
74068.0,783,30,537,140,76,15,1581,0,1
36790.0,3,3,14,15,21,10,66,1,1
18793.0,4,16,20,0,17,20,77,0,1
27421.0,43,12,96,78,40,55,324,0,0
30675.0,10,2,16,11,2,21,62,0,1
83145.0,777,35,731,39,137,114,1833,2,1
34053.0,63,0,21,7,0,12,103,0,1
31788.0,16,7,23,0,8,6,60,0,0
45894.0,27,2,7,0,2,13,51,0,1
41986.0,27,5,8,8,3,12,63,0,0
42769.0,71,0,13,3,1,0,88,0,1
58582.0,402,35,106,101,77,42,763,1,1
49096.0,144,1,32,2,1,7,187,0,1
76412.0,840,53,804,23,71,17,1808,3,0
18929.0,32,0,8,23,4,18,85,0,1
18929.0,32,0,8,23,4,18,85,0,1
18929.0,32,0,8,23,4,18,85,0,1
21888.0,88,10,46,2,3,64,213,1,0
41580.0,56,5,24,4,0,3,92,0,1
31605.0,74,0,42,2,1,6,125,0,1
25509.0,40,3,30,10,7,11,101,1,0
25509.0,40,3,30,10,7,11,101,1,0
33051.0,100,71,243,108,94,219,835,1,0
28764.0,8,0,3,0,0,1,12,1,1
32146.0,26,3,23,4,7,3,66,0,1
22148.0,15,5,14,0,4,11,49,0,0
36781.0,29,1,17,0,3,13,63,1,1
54197.0,162,6,37,6,13,13,237,0,1
93790.0,1302,68,731,89,114,45,2349,4,0
24762.0,6,10,12,3,15,40,86,2,0
30477.0,47,1,6,0,0,12,66,0,1
11448.0,0,0,0,6,2,6,14,0,0
70844.0,129,26,67,3,67,2,294,0,0
30828.0,16,11,15,2,0,12,56,0,0
62513.0,520,42,98,0,42,14,716,0,1
27733.0,0,7,5,26,2,17,57,0,1
39435.0,71,0,18,0,0,13,102,0,1
75345.0,918,57,842,99,38,133,2087,2,0
20491.0,5,4,5,4,2,10,30,0,1
36715.0,172,10,125,21,13,16,357,1,1
71706.0,931,56,253,91,98,14,1443,0,1
69063.0,666,35,124,69,8,26,928,0,1
24645.0,5,3,4,4,1,0,17,0,1
35797.0,27,1,14,4,1,21,68,0,1
44078.0,24,1,10,2,0,4,41,0,1
26954.0,4,1,11,0,0,1,17,0,0
38887.0,25,1,13,0,0,3,42,0,1
65463.0,391,32,70,21,32,16,562,1,1
53537.0,81,0,6,0,0,6,93,0,1
36230.0,14,2,30,8,2,3,59,0,0
80763.0,674,168,108,192,42,231,1415,3,1
60585.0,267,42,309,55,42,21,736,1,1
49166.0,224,2,25,7,0,110,368,0,0
75261.0,1239,17,413,23,34,17,1743,3,1
89891.0,412,22,132,59,28,183,836,1,1
72828.0,1205,0,235,19,14,205,1678,0,1
75278.0,304,98,230,150,74,74,930,0,1
38557.0,76,3,31,4,4,27,145,0,0
81300.0,1004,12,145,32,12,36,1241,2,1
60161.0,584,44,212,46,8,177,1071,0,0
69389.0,422,7,238,69,46,15,797,0,1
64497.0,1170,48,320,42,32,192,1804,2,0
61014.0,269,129,495,182,43,29,1147,0,1
44319.0,26,0,8,0,0,3,37,0,1
53233.0,28,0,9,3,0,0,40,0,1
77972.0,613,22,319,33,102,12,1101,0,1
81361.0,163,23,424,27,65,76,778,0,0
81361.0,163,23,424,27,65,76,778,1,0
25707.0,1,6,2,3,6,3,21,0,0
42403.0,22,1,11,0,5,3,42,0,1
65704.0,279,172,74,38,8,246,817,0,0
37406.0,2,0,8,2,2,3,17,1,1
39767.0,113,61,204,34,26,47,485,0,1
54210.0,70,54,109,80,9,45,367,0,1
57136.0,267,140,599,34,12,127,1179,1,0
40794.0,261,23,73,4,23,50,434,0,1
83003.0,856,61,570,40,25,122,1674,2,1
89058.0,454,194,106,31,22,43,850,0,1
20193.0,8,8,22,24,11,9,82,0,1
72099.0,546,91,410,119,0,22,1188,0,1
43824.0,96,1,42,12,3,32,186,0,1
66653.0,452,18,102,16,18,6,612,0,1
44359.0,20,0,14,7,3,1,45,0,1
79410.0,658,80,483,123,13,13,1370,0,1
55842.0,451,0,39,0,4,24,518,0,1
79946.0,395,183,565,166,141,28,1478,0,0
88194.0,688,14,309,201,24,38,1274,3,0
80184.0,1035,134,670,25,38,0,1902,2,1
76982.0,464,151,292,65,60,30,1062,2,0
65295.0,365,32,117,34,110,6,664,0,0
57100.0,181,21,69,39,3,96,409,0,1
29009.0,6,6,15,10,5,2,44,0,1
78931.0,331,197,170,58,152,35,943,0,1
7500.0,3,1,10,3,2,12,31,0,1
56939.0,256,34,103,90,29,49,561,0,1
64509.0,836,185,575,24,25,77,1722,2,0
30093.0,2,6,28,13,4,16,69,0,1
30351.0,14,0,24,3,3,2,46,1,1
30351.0,14,0,24,3,3,2,46,0,1
38201.0,233,0,23,0,0,12,268,0,1
43974.0,378,0,101,0,0,72,551,0,1
38200.0,12,0,4,0,0,1,17,0,1
87305.0,345,25,501,63,138,80,1152,2,0
16860.0,10,4,4,3,3,14,38,0,1
27213.0,19,3,26,10,9,3,70,1,0
7500.0,7,0,12,13,7,32,71,2,1
4861.0,2,1,1,1,0,1,6,0,0
38196.0,30,0,11,0,0,3,44,0,1
41145.0,9,0,3,0,0,1,13,0,1
38513.0,172,3,115,16,0,18,324,1,0
45688.0,279,0,18,0,0,9,306,1,1
77863.0,881,38,319,16,25,12,1291,0,1
42169.0,19,0,9,0,0,2,30,0,1
45906.0,305,3,27,4,3,144,486,1,0
35388.0,6,4,7,4,3,8,32,0,0
80952.0,778,178,689,41,27,44,1757,4,1
39898.0,69,8,26,12,7,12,134,0,1
39898.0,69,8,26,12,7,12,134,0,1
44051.0,79,7,58,6,3,18,171,1,0
86718.0,344,189,482,50,33,172,1270,0,1
80141.0,1184,102,673,52,40,40,2091,2,1
58597.0,490,0,184,10,28,21,733,0,1
70356.0,1349,16,249,43,16,33,1706,0,1
46904.0,153,4,56,0,9,31,253,0,0
37760.0,84,5,38,150,12,28,317,0,1
37760.0,84,5,38,150,12,28,317,0,1
61839.0,1000,155,379,224,17,120,1895,0,0
29791.0,14,0,6,0,0,0,20,0,1
48918.0,52,0,9,0,0,1,62,0,0
48918.0,52,0,9,0,0,1,62,0,0
58692.0,301,11,61,4,7,11,395,0,1
39356.0,15,0,2,0,0,6,23,1,1
76234.0,519,50,167,130,0,41,907,1,1
55434.0,238,115,215,169,69,76,882,0,1
66835.0,620,26,195,34,17,141,1033,0,1
66835.0,620,26,195,34,17,141,1033,0,1
71965.0,572,19,286,50,38,248,1213,0,1
74538.0,380,98,733,110,112,28,1461,2,1
50002.0,443,5,71,21,16,82,638,0,0
53977.0,620,16,165,0,24,82,907,0,1
53977.0,620,16,165,0,24,82,907,0,1
69930.0,252,98,827,219,70,196,1662,0,1
62981.0,796,14,590,38,44,0,1482,1,1
46014.0,410,0,59,19,9,44,541,0,1
18227.0,1,2,7,4,3,11,28,0,1
65991.0,507,19,364,25,47,9,971,0,1
38808.0,125,17,52,3,19,30,246,2,0
43783.0,327,9,125,25,4,139,629,1,1
30396.0,15,0,6,0,1,12,34,2,1
65526.0,397,19,69,12,0,9,506,0,1
65526.0,397,19,69,12,0,9,506,0,1
55956.0,760,38,104,50,9,38,999,1,1
55563.0,29,1,9,2,0,2,43,0,0
57236.0,105,0,9,2,1,4,121,0,1
89694.0,1126,28,211,37,28,42,1472,3,0
57420.0,280,0,18,0,0,24,322,1,1
33622.0,39,1,22,3,4,12,81,0,1
29999.0,68,7,59,10,5,11,160,0,0
31497.0,108,1,28,13,1,4,155,0,1
31497.0,108,1,28,13,1,4,155,0,1
36802.0,16,1,2,0,0,1,20,0,0
61671.0,641,7,56,0,0,28,732,2,0
60182.0,8,0,5,7,0,2,22,0,0
29732.0,25,0,8,0,1,4,38,0,1
45921.0,102,9,49,24,3,12,199,0,1
16529.0,3,0,5,13,0,1,22,0,1
98777.0,1000,19,711,125,115,38,2008,1,0
98777.0,1000,19,711,125,115,38,2008,1,0
77027.0,820,57,242,45,0,11,1175,0,1
69139.0,86,12,75,33,15,6,227,0,1
69139.0,86,12,75,33,15,6,227,0,1
65169.0,1074,0,69,0,0,46,1189,5,1
40049.0,13,6,7,0,3,3,32,0,0
69755.0,217,77,373,111,23,93,894,0,1
54456.0,352,0,27,10,0,15,404,0,1
60689.0,240,90,216,63,6,24,639,0,0
26487.0,2,8,10,12,14,23,69,0,0
28164.0,3,18,26,11,8,12,78,0,1
22585.0,3,9,15,13,2,39,81,2,0
64795.0,412,5,119,38,29,77,680,0,1
42000.0,124,83,267,85,59,35,653,1,0
42000.0,124,83,267,85,59,35,653,1,0
70713.0,736,114,279,82,76,190,1477,0,1
82800.0,1006,22,115,59,68,45,1315,3,0
82800.0,1006,22,115,59,68,45,1315,3,0
30801.0,8,4,5,15,2,11,45,0,1
83891.0,217,38,350,111,85,15,816,0,1
38054.0,23,2,17,2,1,0,45,0,0
14045.0,11,0,5,2,1,1,20,0,1
44155.0,22,1,9,0,0,14,46,0,1
57642.0,580,6,58,8,0,27,679,1,0
31353.0,10,0,10,3,1,7,31,0,1
31353.0,10,0,10,3,1,7,31,1,1
41335.0,112,19,21,16,14,5,187,0,0
41335.0,112,19,21,16,14,5,187,0,0
40737.0,11,0,4,0,0,2,17,0,0
19789.0,2,5,9,28,6,28,78,1,1
35946.0,8,0,3,0,0,0,11,0,0
36262.0,88,39,54,64,28,153,426,2,1
44551.0,182,4,33,0,0,66,285,0,0
71367.0,227,23,389,42,21,75,777,0,1
71367.0,227,23,389,42,21,75,777,0,1
57957.0,290,59,177,77,5,29,637,0,1
50334.0,284,16,160,84,16,134,694,0,1
48150.0,173,2,39,3,2,47,266,0,1
56796.0,656,38,161,62,47,37,1001,0,1
56796.0,656,38,161,62,47,37,1001,0,1
52278.0,953,0,71,0,0,174,1198,1,0
52278.0,953,0,71,0,0,174,1198,0,0
7500.0,3,18,14,15,22,50,122,1,1
33444.0,8,0,8,0,0,2,18,0,1
20895.0,18,3,17,3,0,4,45,0,1
37509.0,37,5,56,12,8,5,123,0,1
88097.0,163,0,480,0,126,75,844,4,1
59041.0,69,2,15,2,2,6,96,0,1
43322.0,56,7,48,10,2,18,141,0,0
46015.0,38,0,2,0,0,6,46,2,1
46015.0,38,0,2,0,0,6,46,2,1
34242.0,8,2,4,0,0,1,15,0,1
65210.0,626,0,70,0,7,28,731,2,1
50520.0,112,0,6,2,1,14,135,0,0
90765.0,547,99,812,151,82,33,1724,2,1
80589.0,507,93,520,242,40,26,1428,2,1
49572.0,35,1,16,0,1,1,54,0,1
75437.0,795,0,545,95,58,0,1493,1,1
44635.0,56,0,9,0,0,3,68,0,0
58512.0,895,10,101,13,0,152,1171,0,1
62000.0,899,0,101,0,0,20,1020,1,0
54252.0,178,4,26,8,4,44,264,0,0
45068.0,14,0,3,0,0,3,20,0,1
60474.0,265,199,303,234,9,170,1180,0,0
60474.0,265,199,303,234,9,170,1180,0,0
56337.0,349,16,144,28,5,182,724,3,1
22434.0,4,12,11,3,13,15,58,0,1
61416.0,848,154,323,201,61,78,1665,1,1
92163.0,817,183,797,106,163,20,2086,3,1
58656.0,962,12,194,16,24,12,1220,1,1
8940.0,1,45,3,4,6,42,101,0,0
26751.0,1,1,5,0,3,1,11,0,1
71427.0,212,123,177,15,64,23,614,0,1
26646.0,11,4,20,10,3,5,53,0,1
19346.0,2,0,9,3,6,2,22,0,0
56243.0,347,0,35,4,3,7,396,0,0
59892.0,73,0,13,0,1,0,87,0,1
71613.0,426,49,127,111,21,42,776,0,1
25252.0,1,3,4,2,2,6,18,0,1
42160.0,48,9,45,3,15,20,140,1,0
15862.0,1,1,4,11,9,10,36,0,0
82584.0,1076,68,103,29,91,68,1435,3,1
